id,firstName,lastName,birthDate,birthLocation,educationLevel,profession,club,districtNum,districtName,voivodeship,numberOfVotes,active,inactiveCause,waiverDesc,percentOfVoting
192,Andrzej,Kryj,1960-06-09,Ostrowiec Świętokrzyski,wyższe,urzędnik samorządowy,PiS,33,Kielce,świętokrzyskie,6968,True,,,88.59
193,Mariusz,Krystian,1976-09-18,Zator,wyższe,"nauczyciel, technik elektryk",PiS,12,Kraków,małopolskie,11366,True,,,95.08
194,Marek,Krząkała,1967-10-22,Rybnik,wyższe,"nauczyciel, tłumacz",KO,30,Bielsko-Biała,śląskie,18605,True,,,100.0
195,Adam,Krzemiński,1975-01-14,Ciechanów,wyższe,"nauczyciel, pracownik administracji samorządowej, technik elektronik",KO,16,Płock,mazowieckie,6071,True,,,100.0
196,Henryka,Krzywonos-Strycharska,1953-03-27,Olsztyn,średnie ogólne,emeryt,KO,26,Słupsk,pomorskie,8460,True,,,87.47
197,Krzysztof,Kubów,1984-07-22,Lubin,wyższe,administratywista,PiS,1,Legnica,dolnośląskie,15928,True,,,98.21
198,Anita,Kucharska-Dziedzic,1972-01-21,Wołczyn,wyższe,"nauczycielka akademicka, parlamentarzystka",Lewica,8,Zielona Góra,lubuskie,23051,True,,,100.0
199,Marek,Kuchciński,1955-08-09,Przemyśl,średnie policealne/pomaturalne,urzędnik państwowy,PiS,22,Krosno,podkarpackie,50519,True,,,90.16
200,Paweł,Kukiz,1963-06-24,Paczków,średnie ogólne,muzyk,Kukiz15,21,Opole,opolskie,43292,True,,,67.56
201,Marcin,Kulasek,1976-04-04,Jędrzejów,wyższe,parlamentarzysta,Lewica,35,Olsztyn,warmińsko-mazurskie,11514,True,,,93.06
202,Maria,Kurowska,1954-06-03,Brzostek,wyższe,parlamentarzysta,PiS,22,Krosno,podkarpackie,20813,True,,,95.97
203,Władysław,Kurowski,1960-04-14,Myślenice,wyższe,pracownik administracji samorządowej,PiS,12,Kraków,małopolskie,12320,True,,,96.87
204,Zbigniew,Kuźmiuk,1956-09-19,Komorowo,wyższe,nauczyciel akademicki,PiS,17,Radom,mazowieckie,24702,True,,,95.3
205,Anna,Kwiecień,1964-09-30,Radom,wyższe,urzędnik samorządowy,PiS,17,Radom,mazowieckie,34570,True,,,95.97
206,Piotr,Lachowicz,1967-09-29,Nowy Sącz,wyższe,ekonomista,KO,14,Nowy Sącz,małopolskie,12918,True,,,99.33
207,Stanisław,Lamczyk,1957-08-12,Brusy,wyższe,inżynier mechanik,KO,26,Słupsk,pomorskie,8722,True,,,93.51
208,Maciej,Lasek,1967-06-15,Elbląg,wyższe,"inżynier mechanik, nauczyciel akademicki",KO,20,Warszawa,mazowieckie,20565,True,,,99.78
209,Gabriela,Lenartowicz,1960-12-12,Katowice,wyższe,parlamentarzysta,KO,30,Bielsko-Biała,śląskie,16515,True,,,90.38
210,Ewa,Leniart,1976-08-27,Dylągówka,wyższe,prawnik,PiS,23,Rzeszów,podkarpackie,38795,True,,,93.51
211,Aleksandra,Leo,1981-03-28,Warszawa,wyższe,prawnik,Polska2050-TD,2,Wałbrzych,dolnośląskie,16661,True,,,98.21
212,Izabela,Leszczyna,1962-09-03,Częstochowa,wyższe,nauczyciel,KO,28,Częstochowa,śląskie,60549,True,,,97.99
213,Joanna,Lichocka,1969-11-21,Warszawa,wyższe,dziennikarz,PiS,11,Sieradz,łódzkie,36060,True,,,93.74
214,Krzysztof,Lipiec,1959-10-11,Starachowice,wyższe,nauczyciel,PiS,33,Kielce,świętokrzyskie,14962,True,,,82.55
215,Łukasz,Litewka,1989-05-09,Sosnowiec,wyższe,socjolog,Lewica,32,Katowice,śląskie,40579,True,,,96.2
216,Grzegorz,Lorek,1970-10-31,Piotrków Trybunalski,wyższe,pracownik administracji samorządowej,PiS,10,Piotrków Trybunalski,łódzkie,19711,True,,,96.42
217,Radosław,Lubczyk,1978-07-18,Szczecinek,wyższe,lekarz,PSL-TD,40,Koszalin,zachodniopomorskie,14353,True,,,90.38
218,Katarzyna,Lubnauer,1969-07-24,Łódź,wyższe,nauczyciel akademicki,KO,19,Warszawa,mazowieckie,22529,True,,,99.11
219,Adam,Luboński,1969-04-30,Piła,średnie ogólne,przedsiębiorca prywatny,Polska2050-TD,38,Piła,wielkopolskie,8724,True,,,100.0
220,Artur,Łącki,1961-12-05,Trzebiatów,wyższe,prawnik,KO,41,Szczecin,zachodniopomorskie,6100,True,,,98.66
221,Alicja,Łepkowska-Gołaś,1983-01-01,Łomża,wyższe,archiwista,KO,24,Białystok,podlaskie,13511,True,,,89.04
222,Dorota,Łoboda,1975-08-19,Warszawa,wyższe,teatrolożka,KO,19,Warszawa,mazowieckie,10510,True,,,99.33
223,Krystian,Łuczak,1975-01-16,Włocławek,wyższe,archeolog,KO,5,Toruń,kujawsko-pomorskie,16451,True,,,99.55
224,Sebastian,Łukaszewicz,1991-02-09,Białystok,wyższe,pracownik administracji samorządowej,PiS,24,Białystok,podlaskie,11554,True,,,83.22
225,Marzena,Machałek,1960-08-29,Wrocław,wyższe,nauczyciel,PiS,1,Legnica,dolnośląskie,18363,True,,,95.3
226,Antoni,Macierewicz,1948-08-03,Warszawa,wyższe,historyk,PiS,10,Piotrków Trybunalski,łódzkie,32496,True,,,93.51
227,Marlena,Maląg,1964-11-02,Ostrów Wielkopolski,wyższe,parlamentarzysta,PiS,36,Kalisz,wielkopolskie,109870,True,,,88.81
228,Ewa,Malik,1961-01-11,Sosnowiec,wyższe,inżynier metalurg,PiS,32,Katowice,śląskie,39498,True,,,73.38
229,Mirosław,Maliszewski,1968-02-28,Warszawa,wyższe,pracownik administracji samorządowej,PSL-TD,17,Radom,mazowieckie,17857,True,,,93.74
230,Maciej,Małecki,1974-10-09,Warszawa,wyższe,historyk,PiS,16,Płock,mazowieckie,33696,True,,,95.3
231,Arkadiusz,Marchewka,1986-01-18,Szczecin,wyższe,nauczyciel akademicki,KO,41,Szczecin,zachodniopomorskie,33222,True,,,99.55
232,Jagna,Marczułajtis-Walczak,1978-12-15,Zakopane,wyższe,"nauczyciel, trener",KO,13,Kraków,małopolskie,35573,True,,,97.99
233,Dorota,Marek,1973-12-28,Krzeszowice,wyższe,przedsiębiorca prywatny,KO,13,Kraków,małopolskie,14141,True,,,99.55
234,Dariusz,Matecki,1989-02-06,Szczecin,wyższe,prawnik,PiS,41,Szczecin,zachodniopomorskie,14974,True,,,87.02
235,Jerzy,Materna,1956-03-25,Zielona Góra,wyższe,inżynier budownictwa,PiS,8,Zielona Góra,lubuskie,17470,True,,,94.63
236,Grzegorz,Matusiak,1961-02-24,Jaworzno,wyższe,parlamentarzysta,PiS,30,Bielsko-Biała,śląskie,12690,True,,,89.04
237,Katarzyna,Matusik-Lipiec,1975-06-29,Gorlice,wyższe,menedżer,KO,13,Kraków,małopolskie,9261,True,,,97.76
238,Marek,Matuszewski,1959-08-14,Zgierz,średnie zawodowe,parlamentarzysta,PiS,11,Sieradz,łódzkie,17412,True,,,97.54
239,Paulina,Matysiak,1984-10-02,Kutno,wyższe,filolog,Lewica,11,Sieradz,łódzkie,17695,True,,,97.54
240,Łukasz,Mejza,1991-05-15,Zielona Góra,wyższe,przedsiębiorca prywatny,PiS,8,Zielona Góra,lubuskie,10162,True,,,76.96
241,Sławomir,Mentzen,1986-11-20,Toruń,wyższe,doradca podatkowy,Konfederacja,19,Warszawa,mazowieckie,101269,True,,,67.11
242,Anna,Milczanowska,1958-07-18,Radomsko,wyższe,pracownik administracji samorządowej,PiS,10,Piotrków Trybunalski,łódzkie,22595,True,,,88.37
243,Daniel,Milewski,1989-11-22,Chicago (Usa),wyższe,"nauczyciel akademicki, parlamentarzysta, polityk, prawnik",PiS,18,Siedlce,mazowieckie,44145,True,,,95.75
244,Rajmund,Miller,1954-07-16,Kielce,wyższe,lekarz,KO,21,Opole,opolskie,11835,False,Zgon,Zmarł,71.18
245,Aleksander,Miszalski,1980-08-07,Kraków,wyższe,przedsiębiorca prywatny,KO,13,Kraków,małopolskie,29414,False,Zrzeczenie,Wybrany na funkcję Prezydenta Miasta Krakowa,98.49
246,Mateusz,Morawiecki,1968-06-20,Wrocław,wyższe,polityk,PiS,31,Katowice,śląskie,117064,True,,,76.73
247,Jan,Mosiński,1956-12-19,Lubin,wyższe,politolog,PiS,36,Kalisz,wielkopolskie,7321,True,,,92.84
248,Michał,Moskal,1994-05-06,Janów Lubelski,wyższe,prawnik,PiS,6,Lublin,lubelskie,21958,True,,,86.58
249,Czesław,Mroczek,1964-07-20,Kałuszyn,wyższe,prawnik,KO,18,Siedlce,mazowieckie,11648,True,,,99.11
250,Aleksander,Mrówczyński,1953-12-09,Chojnice,wyższe,parlamentarzysta,PiS,26,Słupsk,pomorskie,15125,True,,,80.98
251,Izabela,Mrzygłocka,1959-05-20,Wałbrzych,wyższe,ekonomista,KO,2,Wałbrzych,dolnośląskie,14470,True,,,78.75
252,Joanna,Mucha,1976-04-12,Płońsk,wyższe,nauczyciel akademicki,Polska2050-TD,6,Lublin,lubelskie,32563,True,,,98.88
253,Arkadiusz,Mularczyk,1971-02-04,Racibórz,wyższe,adwokat,PiS,14,Nowy Sącz,małopolskie,62758,True,,,89.49
254,Krzysztof,Mulawa,1985-06-24,Siedlce,wyższe,ekspert ds. kontrolingu,Konfederacja,18,Siedlce,mazowieckie,14043,True,,,91.05
255,Piotr,Müller,1989-05-02,Słupsk,wyższe,"prawnik, urzędnik państwowy",PiS,26,Słupsk,pomorskie,72813,True,,,95.53
256,Arkadiusz,Myrcha,1984-02-01,Toruń,wyższe,radca prawny,KO,5,Toruń,kujawsko-pomorskie,64452,True,,,99.11
257,Grzegorz,Napieralski,1974-03-18,Szczecin,wyższe,politolog,KO,41,Szczecin,zachodniopomorskie,7239,True,,,97.99
258,Dorota,Niedziela,1964-08-20,Oświęcim,wyższe,lekarz weterynarii,KO,12,Kraków,małopolskie,28783,True,,,95.08
259,Jacek,Niedźwiedzki,1975-06-13,Suwałki,wyższe,specjalista ds. zarządzania,KO,24,Białystok,podlaskie,9063,True,,,99.55
260,Małgorzata,Niemczyk,1969-10-25,Łódź,wyższe,"ekonomista, nauczyciel, trener",KO,9,Łódź,łódzkie,20959,True,,,99.78
261,Jolanta,Niezgodzka,1991-02-26,Kłobuck,wyższe,,KO,3,Wrocław,dolnośląskie,7262,True,,,99.33
262,Sławomir,Nitras,1973-04-26,Połczyn-Zdrój,wyższe,parlamentarzysta,KO,41,Szczecin,zachodniopomorskie,90720,True,,,83.45
263,Barbara,Nowacka,1975-05-10,Warszawa,wyższe,informatyk,KO,26,Słupsk,pomorskie,139524,True,,,92.17
264,Maja,Nowak,1987-07-07,Nowa Sól,wyższe,pedagog,Polska2050-TD,8,Zielona Góra,lubuskie,25109,True,,,98.43
265,Tomasz,Nowak,1956-12-22,Kwidzyn,wyższe,przedsiębiorca prywatny,KO,37,Konin,wielkopolskie,15495,True,,,99.78
266,Wanda,Nowicka,1956-11-21,Lublin,wyższe,filolożka,Lewica,29,Katowice,śląskie,16882,True,,,91.72
267,Urszula,Nowogórska,1978-09-29,Limanowa,wyższe,"pielęgniarka, pracownik administracji samorządowej",PSL-TD,14,Nowy Sącz,małopolskie,24388,True,,,99.55
268,Mirosława,Nykiel,1953-09-23,Wańkowa,wyższe,"menedżer, przedsiębiorca prywatny",KO,27,Bielsko-Biała,śląskie,49436,True,,,99.11
269,Marcin,Ociepa,1984-10-21,Opole,wyższe,nauczyciel akademicki,PiS,21,Opole,opolskie,40418,True,,,97.09
270,Marzena,Okła-Drewnowicz,1972-05-20,Skarżysko-Kamienna,wyższe,urzędnik samorządowy,KO,33,Kielce,świętokrzyskie,64990,True,,,98.66
271,Barbara,Okuła,1973-12-04,Siemiatycze,wyższe,ekonomista,Polska2050-TD,24,Białystok,podlaskie,3482,True,,,99.78
272,Barbara,Oliwiecka,1977-01-07,Kalisz,wyższe,"menedżer, trener kadry menedżerskiej",Polska2050-TD,36,Kalisz,wielkopolskie,12214,True,,,99.11
273,Dorota,Olko,1988-01-13,Siedlce,wyższe,socjolog,Lewica,19,Warszawa,mazowieckie,44188,True,,,94.85
274,Paweł,Olszewski,1979-12-11,Bydgoszcz,wyższe,ekonomista,KO,4,Bydgoszcz,kujawsko-pomorskie,35289,True,,,98.66
275,Mirosław,Orliński,1986-07-21,Warszawa,wyższe,prawnik,PSL-TD,16,Płock,mazowieckie,9066,True,,,99.11
276,Łukasz,Osmalak,1977-06-17,Mikołów,wyższe,inżynier informatyk,Polska2050-TD,30,Bielsko-Biała,śląskie,19616,True,,,100.0
277,Katarzyna,Osos,1980-11-17,Świebodzin,wyższe,radca prawny,KO,8,Zielona Góra,lubuskie,11832,True,,,94.18
278,Jacek,Osuch,1958-08-28,Olkusz,wyższe,inżynier mechanik,PiS,13,Kraków,małopolskie,10386,True,,,84.56
279,Jacek,Ozdoba,1991-09-22,Warszawa,wyższe,prawnik,PiS,16,Płock,mazowieckie,19637,True,,,91.72
280,Teresa,Pamuła,1956-12-28,Lubaczów,wyższe,inżynier ogrodnik,PiS,22,Krosno,podkarpackie,15273,True,,,90.38
281,Paweł,Papke,1977-02-13,Starogard Gdański,wyższe,pedagog,KO,35,Olsztyn,warmińsko-mazurskie,27023,True,,,93.29
282,Urszula,Pasławska,1977-01-28,Biskupiec,wyższe,prawnik,PSL-TD,35,Olsztyn,warmińsko-mazurskie,26992,True,,,88.81
283,Krzysztof,Paszyk,1979-04-10,Poznań,wyższe,prawnik,PSL-TD,38,Piła,wielkopolskie,27642,True,,,99.11
284,Karolina,Pawliczak,1976-06-25,Godziesze Wielkie,wyższe,prawnik,KO,36,Kalisz,wielkopolskie,21819,True,,,100.0
285,Bartłomiej,Pejo,1985-04-04,Świdnik,wyższe,"inżynier, menedżer",Konfederacja,6,Lublin,lubelskie,26037,True,,,94.63
286,Ryszard,Petru,1972-07-06,Wrocław,wyższe,doradca finansowy,Polska2050-TD,19,Warszawa,mazowieckie,24192,True,,,80.76
287,Małgorzata,Pępek,1961-06-10,Kocierz Rydzwałdzki,wyższe,ekonomista,KO,27,Bielsko-Biała,śląskie,22184,True,,,100.0
288,Bolesław,Piecha,1954-09-19,Rybnik,wyższe,lekarz,PiS,30,Bielsko-Biała,śląskie,32427,True,,,96.42
289,Grzegorz,Piechowiak,1963-09-14,Piła,wyższe,"nadzorca sądowy, syndyk, zarządca nieruchomości",PiS,38,Piła,wielkopolskie,13122,True,,,91.72
290,Anna,Pieczarka,1977-02-15,Tuchów,wyższe,"polityk, pracownik administracji samorządowej",PiS,15,Tarnów,małopolskie,71199,True,,,88.59
291,Katarzyna,Piekarska,1967-09-23,Warszawa,wyższe,radca prawny,KO,19,Warszawa,mazowieckie,8748,True,,,92.17
292,Norbert,Pietrykowski,1973-12-17,Mława,wyższe,analityk medyczny,Polska2050-TD,4,Bydgoszcz,kujawsko-pomorskie,27596,True,,,98.43
293,Lucjan,Pietrzczyk,1960-03-24,Bilcza,wyższe,nauczyciel,KO,33,Kielce,świętokrzyskie,5826,True,,,99.78
294,Dariusz,Piontkowski,1964-12-17,Sielc,wyższe,nauczyciel,PiS,24,Białystok,podlaskie,22147,True,,,97.54
295,Kazimierz,Plocke,1958-05-03,Domatowo,wyższe,inżynier rolnik,KO,26,Słupsk,pomorskie,8154,True,,,99.78
296,Grzegorz,Płaczek,1978-05-13,Tarnowskie Góry,wyższe,"nauczyciel, przedsiębiorca prywatny",Konfederacja,31,Katowice,śląskie,18648,True,,,99.11
297,Kacper,Płażyński,1989-05-10,Gdańsk,wyższe,adwokat,PiS,25,Gdańsk,pomorskie,100445,True,,,93.51
298,Szymon,Pogoda,1985-09-22,Bolesławiec,wyższe,menedżer,PiS,1,Legnica,dolnośląskie,10117,True,,,94.85
299,Jerzy,Polaczek,1961-08-24,Piekary Śląskie,wyższe,prawnik,PiS,31,Katowice,śląskie,5996,True,,,94.85
300,Elżbieta,Polak,1959-09-06,Przemków,wyższe,administratywista,KO,8,Zielona Góra,lubuskie,78475,True,,,93.74
301,Piotr,Polak,1961-01-20,Grabinka,wyższe,inżynier mechanizacji rolnictwa,PiS,11,Sieradz,łódzkie,23845,True,,,97.76
302,Agnieszka,Pomaska,1980-01-08,Gdynia,wyższe,politolog,KO,25,Gdańsk,pomorskie,83590,True,,,98.66
303,Marcin,Porzucek,1984-07-20,Kielce,wyższe,politolog,PiS,38,Piła,wielkopolskie,28293,True,,,97.09
304,Jacek,Protas,1964-01-15,Lidzbark Warmiński,wyższe,"nauczyciel, trener",KO,34,Elbląg,warmińsko-mazurskie,35745,True,,,99.11
305,Marcin,Przydacz,1985-06-26,Wieluń,wyższe,adwokat,PiS,11,Sieradz,łódzkie,30423,True,,,91.5
306,Grzegorz,Puda,1982-07-13,Bielsko-Biała,wyższe,menedżer marketingu,PiS,27,Bielsko-Biała,śląskie,33728,True,,,97.09
307,Michał,Pyrzyk,1975-06-07,Poznań,wyższe,prawnik,PSL-TD,37,Konin,wielkopolskie,10304,True,,,100.0
308,Renata,Rak,1973-06-29,Szczecinek,wyższe,nauczyciel,KO,40,Koszalin,zachodniopomorskie,9170,True,,,98.88
309,Ireneusz,Raś,1972-09-30,Proszowice,wyższe,urzędnik samorządowy,PSL-TD,13,Kraków,małopolskie,27518,True,,,79.64
310,Zbigniew,Rau,1955-02-03,Łódź,wyższe,nauczyciel akademicki,PiS,9,Łódź,łódzkie,32387,True,,,89.49
311,Marcin,Romanowski,1976-01-20,Skrwilno,wyższe,"nauczyciel akademicki, prawnik",PiS,7,Chełm,lubelskie,17318,True,,,71.36
312,Bartosz,Romowicz,1988-06-14,Lesko,wyższe,prawnik,Polska2050-TD,22,Krosno,podkarpackie,21527,True,,,99.78
313,Monika,Rosa,1986-04-24,Czeladź,wyższe,politolog,KO,31,Katowice,śląskie,44857,True,,,100.0
314,Wiesław,Różyński,1968-06-26,Biłgoraj,wyższe,pracownik administracji samorządowej,PSL-TD,7,Chełm,lubelskie,17237,True,,,98.88
315,Urszula,Rusecka,1966-09-11,Kraków,wyższe,"ekonomista, pracownik samorządowy",PiS,15,Tarnów,małopolskie,17080,True,,,80.31
316,Grzegorz,Rusiecki,1983-02-28,Leszno,wyższe,prawnik,KO,36,Kalisz,wielkopolskie,22410,False,Zrzeczenie,Wybrany na funkcję Prezydenta Miasta Leszna,97.59
317,Jakub,Rutnicki,1978-12-03,Szamotuły,wyższe,politolog,KO,38,Piła,wielkopolskie,67069,True,,,100.0
318,Paweł,Rychlik,1986-12-16,Wieluń,wyższe,farmaceuta,PiS,11,Sieradz,łódzkie,27361,True,,,87.02
319,Marek,Rząsa,1957-10-04,Rzeszów,wyższe,nauczyciel,KO,22,Krosno,podkarpackie,13510,True,,,100.0
320,Jarosław,Rzepa,1972-08-22,Szamotuły,wyższe,inżynier ogrodnik,PSL-TD,41,Szczecin,zachodniopomorskie,21309,True,,,89.49
321,Jarosław,Sachajko,1971-10-08,Lublin,wyższe,przedsiębiorca prywatny,Kukiz15,7,Chełm,lubelskie,33727,True,,,94.85
322,Paweł,Sałek,1975-06-29,Skierniewice,wyższe,"inżynier mechanik, urzędnik państwowy",PiS,10,Piotrków Trybunalski,łódzkie,15200,True,,,96.42
323,Wojciech,Saługa,1969-03-27,Jaworzno,wyższe,ekonomista,KO,32,Katowice,śląskie,28781,False,Zrzeczenie,Wybrany na funkcję Marszałka Województwa Śląskiego,94.09
324,Tadeusz,Samborski,1945-08-08,Gańczary K. Lwowa,wyższe,historyk,PSL-TD,1,Legnica,dolnośląskie,16120,True,,,98.66
325,Jacek,Sasin,1969-11-06,Warszawa,wyższe,urzędnik państwowy,PiS,24,Białystok,podlaskie,59490,True,,,83.67
326,Marek,Sawicki,1958-04-08,Sawice,wyższe,rolnik,PSL-TD,18,Siedlce,mazowieckie,25534,True,,,98.21
327,Ewa,Schädler,1968-09-13,Poznań,wyższe,przedsiębiorca prywatny,Polska2050-TD,39,Poznań,wielkopolskie,33815,True,,,98.66
328,Joanna,Scheuring-Wielgus,1972-02-08,Toruń,wyższe,socjolog,Lewica,5,Toruń,kujawsko-pomorskie,35193,True,,,95.75
329,Anna,Schmidt,1978-11-11,Jarosław,wyższe,socjolog,PiS,22,Krosno,podkarpackie,28692,True,,,76.51
330,Łukasz,Schreiber,1987-05-26,Bydgoszcz,wyższe,urzędnik państwowy,PiS,4,Bydgoszcz,kujawsko-pomorskie,44413,True,,,95.75
331,Jarosław,Sellin,1963-05-01,Gdynia,wyższe,nauczyciel akademicki,PiS,25,Gdańsk,pomorskie,7284,True,,,96.42
332,Olga,Semeniuk-Patkowska,1988-12-05,Warszawa,wyższe,wyższy urzędnik państwowy,PiS,35,Olsztyn,warmińsko-mazurskie,14183,True,,,95.3
333,Edward,Siarka,1963-07-07,Rabka,wyższe,nauczyciel,PiS,14,Nowy Sącz,małopolskie,18587,True,,,86.35
334,Krystyna,Sibińska,1962-06-12,Złocieniec,wyższe,inżynier budownictwa,KO,8,Zielona Góra,lubuskie,19415,True,,,100.0
335,Czesław,Siekierski,1952-10-08,Stopnica,wyższe,nauczyciel akademicki,PSL-TD,33,Kielce,świętokrzyskie,21916,True,,,88.14
336,Rafał,Siemaszko,1986-09-11,Wejherowo,średnie zawodowe,,KO,26,Słupsk,pomorskie,15494,True,,,100.0
337,Tomasz,Siemoniak,1967-07-02,Wałbrzych,wyższe,ekonomista,KO,21,Opole,opolskie,46223,True,,,99.78
338,Bartłomiej,Sienkiewicz,1961-07-29,Kielce,wyższe,"archiwista, historyk",KO,13,Kraków,małopolskie,95873,True,,,82.77
339,Arkadiusz,Sikora,1973-06-20,Głubczyce,wyższe,ekonomista,Lewica,1,Legnica,dolnośląskie,12048,True,,,89.49
340,Włodzimierz,Skalik,1959-06-10,Radomsko,średnie policealne/pomaturalne,,Konfederacja,21,Opole,opolskie,15190,True,,,90.83
341,Marcin,Skonieczka,1978-11-09,Chełmno,wyższe,"ekonomista, urzędnik samorządowy",Polska2050-TD,5,Toruń,kujawsko-pomorskie,11864,True,,,99.78
342,Krystyna,Skowrońska,1954-07-22,Mielec,wyższe,bankowiec,KO,23,Rzeszów,podkarpackie,14901,True,,,100.0
343,Sławomir,Skwarek,1963-11-25,Radzyń Podlaski,wyższe,nauczyciel,PiS,6,Lublin,lubelskie,12427,True,,,97.09
344,Waldemar,Sługocki,1971-09-09,Sulechów,wyższe,"nauczyciel akademicki, urzędnik",KO,8,Zielona Góra,lubuskie,25037,True,,,89.71
345,Weronika,Smarduch,1990-04-08,Rabka-Zdrój,wyższe,ekspert ds. kontrolingu,KO,14,Nowy Sącz,małopolskie,27031,True,,,99.55
346,Kazimierz,Smoliński,1955-07-15,Malbork,wyższe,adwokat,PiS,25,Gdańsk,pomorskie,16177,True,,,97.09
347,Anna,Sobolak,1979-11-02,Lublin,wyższe,,KO,3,Wrocław,dolnośląskie,7675,True,,,98.88
348,Krzysztof,Sobolewski,1978-09-20,Radymno,wyższe,administratywista,PiS,23,Rzeszów,podkarpackie,18390,True,,,87.92
349,Artur,Soboń,1977-03-13,Świdnik,wyższe,pracownik samorządowy,PiS,6,Lublin,lubelskie,32357,False,Zrzeczenie,Powołany na członka Zarządu Narodowego Banku Polskiego,54.0
350,Agnieszka,Soin,1977-02-09,Szczytno,wyższe,parlamentarzysta,PiS,3,Wrocław,dolnośląskie,18645,True,,,76.51
351,Zbigniew,Sosnowski,1963-12-10,Rypin,wyższe,nauczyciel,PSL-TD,5,Toruń,kujawsko-pomorskie,27070,True,,,99.55
352,Marek,Sowa,1967-02-04,Libiąż,wyższe,wyższy urzędnik państwowy,KO,12,Kraków,małopolskie,24652,True,,,99.55
353,Katarzyna,Sójka,1986-02-05,Ostrów Wielkopolski,wyższe,lekarz - specjalista chorób wewnętrznych,PiS,36,Kalisz,wielkopolskie,18138,True,,,93.51
354,Magdalena,Sroka,1979-07-15,Gdańsk,wyższe,menedżer,PSL-TD,25,Gdańsk,pomorskie,18348,True,,,99.33
355,Mirosława,Stachowiak-Różecka,1973-07-08,Świebodzin,wyższe,pedagog specjalny,PiS,3,Wrocław,dolnośląskie,97193,True,,,97.09
356,Dariusz,Stefaniuk,1981-05-10,Biała Podlaska,wyższe,politolog,PiS,7,Chełm,lubelskie,29710,True,,,89.49
357,Franciszek,Sterczewski,1988-03-17,Poznań,wyższe,architekt,KO,39,Poznań,wielkopolskie,10108,True,,,99.78
358,Piotr,Strach,1982-01-10,Częstochowa,wyższe,"menedżer, nauczyciel",Polska2050-TD,29,Katowice,śląskie,17634,True,,,99.78
359,Mirosław,Suchoń,1976-01-10,Bielsko-Biała,wyższe,"ekonomista, informatyk",Polska2050-TD,27,Bielsko-Biała,śląskie,30897,True,,,99.78
360,Marek,Suski,1958-06-11,Grójec,średnie policealne/pomaturalne,specjalista ds. marketingu,PiS,17,Radom,mazowieckie,37853,True,,,94.85
361,Paweł,Suski,1964-06-10,Wałcz,wyższe,parlamentarzysta,KO,40,Koszalin,zachodniopomorskie,5934,True,,,99.33
362,Artur,Szałabawka,1967-10-03,Szczecin,wyższe,pracownik administracji państwowej,PiS,41,Szczecin,zachodniopomorskie,15446,True,,,91.72
363,Wojciech,Szarama,1955-12-16,Bytom,wyższe,adwokat,PiS,29,Katowice,śląskie,12185,True,,,81.66
364,Wiesław,Szczepański,1960-06-01,Chrośnica,wyższe,ekonomista,Lewica,36,Kalisz,wielkopolskie,13668,True,,,99.55
365,Michał,Szczerba,1977-12-14,Warszawa,wyższe,urzędnik państwowy,KO,19,Warszawa,mazowieckie,28653,True,,,97.32
366,Krzysztof,Szczucki,1986-10-18,Elbląg,wyższe,prawnik,PiS,5,Toruń,kujawsko-pomorskie,34014,True,,,86.58
367,Józefa,Szczurek-Żelazko,1961-03-14,Nowy Sącz,wyższe,"menedżer, parlamentarzysta",PiS,15,Tarnów,małopolskie,26231,True,,,88.81
368,Paweł,Szefernaker,1987-02-27,Szczecin,wyższe,prawnik,PiS,40,Koszalin,zachodniopomorskie,29764,True,,,92.17
369,Andrzej,Szejna,1973-04-28,Końskie,wyższe,adwokat,Lewica,33,Kielce,świętokrzyskie,17961,True,,,89.04
370,Andrzej,Szewiński,1970-02-20,Warszawa,wyższe,"parlamentarzysta, pedagog, przedsiębiorca prywatny, sportowiec, urzędnik samorządowy",KO,28,Częstochowa,śląskie,10171,True,,,98.21
371,Adam,Szłapka,1984-12-06,Kościan,wyższe,politolog,KO,39,Poznań,wielkopolskie,149064,True,,,95.08
372,Henryk,Szopiński,1962-09-15,Złotów,wyższe,"animator kultury, muzyk",KO,38,Piła,wielkopolskie,8263,True,,,99.78
373,Paweł,Szrot,1975-06-30,Białystok,wyższe,"prawnik, wyższy urzędnik państwowy",PiS,4,Bydgoszcz,kujawsko-pomorskie,20214,True,,,95.75
374,Krystyna,Szumilas,1956-06-28,Knurów,wyższe,nauczyciel,KO,29,Katowice,śląskie,50871,True,,,98.43
375,Stanisław,Szwed,1955-04-12,Bielsko-Biała,wyższe,parlamentarzysta,PiS,27,Bielsko-Biała,śląskie,57055,True,,,98.21
376,Ewa,Szymanowska,1978-05-30,Łódź,wyższe,"menedżer marketingu, public relations",Polska2050-TD,9,Łódź,łódzkie,26185,True,,,99.11
377,Tomasz,Szymański,1978-04-24,Grudziądz,wyższe,"parlamentarzysta, pracownik administracji samorządowej",KO,5,Toruń,kujawsko-pomorskie,17825,True,,,87.92
378,Szymon,Szynkowski vel Sęk,1982-11-24,Poznań,wyższe,wyższy urzędnik państwowy,PiS,39,Poznań,wielkopolskie,45167,True,,,85.46
379,Łukasz,Ściebiorowski,1980-03-13,Piekary Śląskie,wyższe,politolog,KO,31,Katowice,śląskie,7116,True,,,97.76
